experiment_name,run_mode,num_nodes,network_type,network_label,resource_consumption_mode,resource_consumption_fixed_mode,consumption_label,strategy_update_rule,r,final_actual_cooperation_mean,final_mean_resource_mean,final_mean_pool_grown_mean,final_mean_consumption_mean,final_mean_payoff_mean,final_gini_mean,return_mean,return_std
n50_ba_m2__proportional__piecewise_linear_constant__fermi__r0p25,proportional,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,0.25,0.004,0.8988441474055504,0.5495642810730528,0.06014220737027752,0.060142207370277624,0.19599999999991277,38.77340241720809,57.72762197301344
n50_ba_m2__proportional__piecewise_linear_constant__fermi__r0p5,proportional,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,0.5,0.364,95.30401177535651,54.80191678814107,6.148426047196192,6.1479168786288705,0.7566414773198751,3707.2516253858425,1392.3637178350484
n50_ba_m2__proportional__piecewise_linear_constant__fermi__r0p75,proportional,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,0.75,0.512,140.0216607791398,80.2247457865357,8.947228203230916,8.936324917752447,0.6694476414717798,5887.753046626016,1354.3806454198564
n50_ba_m2__proportional__piecewise_linear_constant__fermi__r1p25,proportional,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,1.25,0.528,147.00531534060548,84.1773234367971,9.356665767089817,9.356665765898962,0.6527306367637951,6257.793362225109,1216.7137477917017
n50_ba_m2__proportional__piecewise_linear_constant__fermi__r1p75,proportional,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,1.75,0.536,151.90294442180715,86.863770323244,9.638130455395903,9.514465769284978,0.6460806274679693,6189.118096503763,1275.631362377005
n50_ba_m2__proportional__piecewise_linear_constant__fermi__r2p25,proportional,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,2.25,0.536,148.6352121824063,85.10616669879828,9.468560609289778,9.468560605900494,0.6416482083204789,6021.43631077646,1138.5875938314398
n50_ba_m2__proportional__piecewise_linear_constant__fermi__r2p75,proportional,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,2.75,0.54,150.56515262515262,86.19883394383393,9.580257631257632,9.580257631257632,0.6298368493452845,5973.365462245298,1027.2748507650003
n50_ba_m2__proportional__piecewise_linear_constant__fermi__r3p25,proportional,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,3.25,0.54,147.47490731532667,84.48319902319902,9.425745365791958,9.425745365279449,0.6472501103973121,5833.407837865736,931.9856931512536
n50_er_k4__proportional__piecewise_linear_constant__fermi__r0p25,proportional,50,erdos_renyi,n50_er_k4,piecewise_linear,constant,piecewise_linear_constant,fermi,0.25,0.0,0.0,0.0,0.0,0.0,0.0,11.465120833990344,0.9986083468129304
n50_er_k4__proportional__piecewise_linear_constant__fermi__r0p5,proportional,50,erdos_renyi,n50_er_k4,piecewise_linear,constant,piecewise_linear_constant,fermi,0.5,0.46399999999999997,137.044422524803,78.34272686222592,8.615458702811017,8.614707171393686,0.6888257545512678,5489.403391637126,1007.1943164716495
