experiment_name,run_mode,run_mode_param_name,run_mode_param_value,run_mode_param_label,warmup_constant_mix_omega,warmup_pool_power_k,num_nodes,network_type,network_label,resource_consumption_mode,resource_consumption_fixed_mode,consumption_label,strategy_update_rule,r,final_actual_cooperation_mean,final_mean_resource_mean,final_mean_pool_grown_mean,final_mean_consumption_mean,final_mean_payoff_mean,final_gini_mean,return_mean,return_std
n50_ba_m2__constant_mix_omega0p5__piecewise_linear_constant__fermi__r0p25,constant_mix,warmup_constant_mix_omega,0.5,omega0p5,0.5,,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.360688787103804,0.69474903142755
n50_ba_m2__constant_mix_omega0p5__piecewise_linear_constant__fermi__r0p75,constant_mix,warmup_constant_mix_omega,0.5,omega0p5,0.5,,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,0.75,0.0,0.0,0.0,0.0,0.0,0.0,356.8133357781848,183.9604552958561
n50_ba_m2__constant_mix_omega0p5__piecewise_linear_constant__fermi__r1p25,constant_mix,warmup_constant_mix_omega,0.5,omega0p5,0.5,,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,1.25,0.4,172.91636363636363,97.6,10.165818181818182,10.165818181818182,0.11905475453535637,2603.5515897745136,2775.5186659548285
n50_ba_m2__constant_mix_omega0p5__piecewise_linear_constant__fermi__r1p75,constant_mix,warmup_constant_mix_omega,0.5,omega0p5,0.5,,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,1.75,0.2,86.45818181818181,48.8,5.082909090909091,5.082909090909093,0.059527377267678164,1507.6205922742106,2276.449471806455
n50_ba_m2__constant_mix_omega0p5__piecewise_linear_constant__fermi__r2p25,constant_mix,warmup_constant_mix_omega,0.5,omega0p5,0.5,,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,2.25,0.0,0.0,0.0,0.0,0.0,0.0,392.7184765399458,187.5853014319321
n50_er_k4__constant_mix_omega0p5__piecewise_linear_constant__fermi__r0p25,constant_mix,warmup_constant_mix_omega,0.5,omega0p5,0.5,,50,erdos_renyi,n50_er_k4,piecewise_linear,constant,piecewise_linear_constant,fermi,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.3562130609483787,0.6854431686094533
n50_er_k4__constant_mix_omega0p5__piecewise_linear_constant__fermi__r0p75,constant_mix,warmup_constant_mix_omega,0.5,omega0p5,0.5,,50,erdos_renyi,n50_er_k4,piecewise_linear,constant,piecewise_linear_constant,fermi,0.75,0.792,322.128,182.0,19.116,19.116000000000003,0.37338936855375676,4438.8809225024115,1887.5577224833396
n50_er_k4__constant_mix_omega0p5__piecewise_linear_constant__fermi__r1p25,constant_mix,warmup_constant_mix_omega,0.5,omega0p5,0.5,,50,erdos_renyi,n50_er_k4,piecewise_linear,constant,piecewise_linear_constant,fermi,1.25,0.9879999999999999,402.49381818181814,227.4,23.879090909090912,23.879090909090912,0.22099352431396055,5664.683966065555,20.548215772642525
n50_er_k4__constant_mix_omega0p5__piecewise_linear_constant__fermi__r1p75,constant_mix,warmup_constant_mix_omega,0.5,omega0p5,0.5,,50,erdos_renyi,n50_er_k4,piecewise_linear,constant,piecewise_linear_constant,fermi,1.75,0.9879999999999999,402.49381818181814,227.4,23.879090909090912,23.879090909090905,0.22099352431396047,5712.3816594674145,13.213424667036756
n50_er_k4__constant_mix_omega0p5__piecewise_linear_constant__fermi__r2p25,constant_mix,warmup_constant_mix_omega,0.5,omega0p5,0.5,,50,erdos_renyi,n50_er_k4,piecewise_linear,constant,piecewise_linear_constant,fermi,2.25,0.596,241.7621818181818,136.6,14.35290909090909,14.352909090909094,0.5257852127935528,3676.6470466636138,2505.1708269264604
n50_regular_d4__constant_mix_omega0p5__piecewise_linear_constant__fermi__r0p25,constant_mix,warmup_constant_mix_omega,0.5,omega0p5,0.5,,50,regular,n50_regular_d4,piecewise_linear,constant,piecewise_linear_constant,fermi,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0916238752434824,0.36762019746701197
